name	latitude_deg	longitude_deg
Blue Lick Airport	38.08060074	-85.69329834
Air Oil Inc Nr 1 Heliport	29.93709946	-90.18370056
LA State Police Troop F Heliport	32.51810074	-91.98899841
West Pond Heliport	41.91699982	-70.70950317
Baugher's Orchard Airport	39.60829926	-77.05190277
Westbrook Heliport	43.73830032	-70.33920288
Scott Airstrip	43.86420059	-85.02390289
Dairyview Airport	44.05500031	-95.90950012
Lake Sexton Airport	38.65000153	-93.61689758
Glasgow Industrial Airport	48.42110062	-106.5279999
Bermudian Valley Airpark	40.01679993	-77.00389862
Hawks Meadow Airport	34.83319855	-80.75119781
Diving Rock Seaplane Base	43.17559814	-72.06390381
Palisades General Hospital Heliport	40.79180145	-73.99539948
Mmc Heliport	42.66640091	-74.76499939
Tennessee Gas Heliport	39.93730164	-81.6835022
Pleasant Valley Airport	34.63339996	-99.03369904
Bruce's Airport	45.42179871	-122.6200027
Folmar Airport	40.998889	-78.125278
Churchill Airport	39.77280045	-99.36009979
Salaika Aviation Airport	29.2404995	-95.34470367
Cuddihy Field	27.72109985	-97.51280212
Corntassel Airport	35.5685997	-84.2410965
Cross-Country Estates Airport	30.625	-97.57279968
Pecks Heliport	33.18399811	-96.44799805
Alpha Hotel Airport	36.81959915	-78.78309631
Meadow STOLport	44.44720078	-72.91470337
Deaconess Medical Center Heliport	47.65179825	-117.4250031
Bartell Strip	42.96530151	-88.39150238
Allen Ponderosa Heliport	32.54219818	-97.39170074
Hill City-Quadna Mountain Airport	46.95550156	-93.59690094
Fisher Airport	61.569639	-149.724439
Crittenden Regional Hospital Heliport	35.141944	-90.19
Mesa Police Heliport	33.41740036	-111.836998
Merrymeeting Field	44	-69.88710022
Pg & E Co. Placerville Svc Center Heliport	38.69490051	-120.8270035
Kistler Ranch Airport	37.85960007	-120.5540009
Tulare Motor Sports #1 Heliport	36.172031	-119.306181
Terra Firma Airport	38.73249817	-104.0410004
Seavair's Landing Seaplane Base	41.89599991	-73.0931015
City of Coalgate Airport	34.53179932	-96.23310089
Duda Airstrip	26.57979965	-81.48370361
Sunniland Ranch Airport	27.36310005	-80.77279663
J. H. Hendrie Farms Airport	27.08449936	-81.3286972
Salt Fork Lodge Heliport	40.11090088	-81.52619934
Sapelo Island Airport	31.42580032	-81.2858963
Symms Airport	43.56930161	-116.7770004
Lagrange Hospital Heliport	41.64590073	-85.42639923
Harms Airstrip	41.57699966	-89.79399872
Winona Lake Seaplane Base	41.223056	-85.830556
Hemmer RLA Restricted Landing Area	37.97779846	-89.20290375
Alderson Airport	39.03469849	-97.58000183
Boss Airport	36.97259903	-84.62609863
Air Oil Inc Nr 2 Heliport	29.95299911	-90.18260193
Sauer Airport	41.07529831	-88.48919678
Aeleron Airport	30.40360069	-92.02359772
Wormid Airport	42.29399872	-71.49620056
St Joseph Hospital Heliport	39.38830185	-76.61000061
Lindbergh Airport	44.81420135	-70.34529877
Sparrow Hospital Heliport	42.73419952	-84.53659821
Christenson Point Seaplane Base	47.66939926	-93.05439758
Twin Oaks Airport	37.39559937	-94.28379822
Williams Field	34.66220093	-89.86830139
Clark Airport	47.06389999	-108.8170013
Keller Brothers Airport	40.29180145	-76.32879639
Whiteheart Farm Airport	36.06760025	-80.46559906
Brecht Strip	47.32310104	-102.0979996
Laurel Municipal Airport	42.43170166	-97.07949829
Memorial Hospital Heliport	44.06129837	-71.13580322
St Barnabas Medical Center Heliport	40.76259995	-74.30400085
Md1 Airport	41.36809921	-74.50559998
Kenley Airport	41.29169846	-80.56369781
Parks Airport	34.93149948	-95.25830078
Saxon Sycan Airport	42.83929825	-121.1169968
Pocono Raceway Heliport	41.0583992	-75.49960327
Thomson Heliport	40.04589844	-76.28079987
Richmond Airport	41.48949814	-71.62059784
Rancho Del Lago Heliport	29.95190048	-98.22450256
B. J. Mc Combs Sisterdale Airport	29.97599983	-98.74359894
Puesta Del Sol Airport	26.88780022	-98.50720215
Cross Wind Airport	32.85820007	-97.74749756
Stevens-Crosby Airport	41.51570129	-115.8600006
Springwood Airstrip	37.55400085	-79.74980164
Manchester Laboratory Heliport	47.57429886	-122.5479965
Pierick Airport	43.04359818	-90.35510254
Peterson Airport	29.10810089	-95.77749634
West Beaver Airport	61.589361	-149.847333
Magnolia Hospital Heliport	33.27320099	-93.23989868
Stronghold Airport	31.9253006	-110.038002
Mee Memorial Hospital Heliport	36.20830154	-121.1320038
Alta Sierra Airport	39.11380005	-121.0569992
Tulare Motor Sports #2 Heliport	36.182556	-119.313572
Cottonwood Field	38.05559921	-103.6529999
Placid Lakes Airport	27.24559975	-81.4131012
Cheryl-Lane Landings Airport	28.67110062	-82.08730316
Sunnybreeze Airport	27.05559921	-81.97059631
Sunbelt Strip	31.11129951	-83.68409729
International Falls Seaplane Base	48.60580063	-93.3707962
Skydive Iowa Airport	41.74580002	-92.40930176
Taylor Ranch Landing Area Airport	45.10390091	-114.8550034
Gibbons Field	38.44729996	-86.44499969
Silver Cross Hospital Heliport	41.53639984	-88.05259705
Gordon Airport	41.1208992	-85.42500305
Swedish American Heliport	42.26499939	-89.07430267
Coffman Airport	38.70700073	-95.13829803
Baptist Hospital East Heliport	38.23899841	-85.63939667
Era Helicopters Fourchon Helibase Heliport	29.12330055	-90.2016983
Pine Hill Airport	42.4681015	-88.74320221
West Feliciana Sheriff's Office Heliport	30.82439995	-91.38459778
Kallander Field	42.3042984	-71.50589752
Perrotti Skyranch Airfield	43.34080124	-70.85469818
Michigan National Guard Headquarters Heliport	42.70809937	-84.56079865
W Johnson Field	44.77999878	-95.66359711
Hogue Farm Airport	37.3783989	-93.36329651
Airhaven Airport	41.83259964	-73.87599945
William Irving Lewis Airport	35.32929993	-79.02999878
Summer Hill Farm Airport	41.33330154	-96.19360352
Stonebridge Farm Helistop	40.65370178	-74.68650055
Spring Lake Fire Department Heliport	41.92890167	-74.04889679
Ragtime Aerodrome	36.35449982	-95.86389923
Mid-Columbia Medical Center Heliport	45.587235	-121.163827
Eagle Field	40.82699966	-77.98809814
Hundley Residence Heliport	40.56200027	-75.1427002
Sullivan Lake State Airport	48.84090042	-117.2839966
Lazy G Bar Ranch Airport	33.28210068	-97.49700165
Running M Ranch Airport	32.26679993	-97.86699677
Univ of Tennessee Medical Center Heliport	35.94169998	-83.94400024
Pitcock Rosillos Mountain Ranch Airport	29.48240089	-103.1650009
Smokey Mtn Ranch Airport	30.7390995	-102.0240021
Alum Ridge STOLport	36.97650146	-80.49389648
Augusta Medical Center Heliport	38.09080124	-78.98500061
South Capitol Street Heliport	38.86869812	-77.00749969
Holy Family Hospital Heliport	47.71039963	-117.4069977
Parkway Farm Strip	44.00360107	-91.30760193
Baptist Medical Center Heliport	29.43300056	-98.49220276
Wipline Seaplane Base	44.8166008	-93.01550293
Pilot Station Airport	61.93460083	-162.8999939
Scotts Airport	64.39250183	-146.8619995
Anderson Lake Airport	61.6169014	-149.3220062
Yentna Bend Strip	61.725556	-150.678611
Parker Lake Airport	62.03590012	-150.4940033
Young Creek Airport	61.35649872	-142.7330017
Victory Airport	61.80339813	-147.9440002
Bradley Lake Hydroelectri Project Airstrip	59.77610016	-150.9589996
Pollux Heliport	64.89579773	-147.496994
Falcon Lake Strip	61.33259964	-150.0590057
Huntsville Field	34.68840027	-86.58889771
Resort Airport	30.44389915	-87.6568985
Clay County Hospital Heliport	33.27500153	-85.83329773
Hospital Pad Heliport	31.43059921	-86.94029999
B.M.C. - De Kalb Heliport	34.44079971	-85.75640106
Flomaton Airport	31.03219986	-87.25279999
D.W. Mcmillian Memorial Hospital Heliport	31.12719917	-87.07330322
Gadsden Regl Medical Center Heliport	34.00830078	-85.96530151
Brookwood Medical Center Heliport	33.46390152	-86.77310181
Wilson Creek Airport	34.84999847	-87.63249969
Smh Heliport	36.18149948	-94.13710022
Hooterville South Airport	35.09469986	-93.20200348
Mission Field-Marotti Memorial Airport	35.26679993	-90.35009766
Taylor's Air Strip	35.89899826	-93.26100159
Gravette Medical Center Hospital Heliport	36.40790176	-94.45690155
